id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,C1_Recall,C2_Accuracy,C3_Didactic_Tone,C4_Citation_Integrity,User_CSAT
CIB-A1-142,D1_Code,88.0,5.82,3.769,7.9e-05,0.0,85.0,100.0,20.0,50.0,100.0,0.0,92.3,1.0,56.34,,,,,,,,,
CIB-A1-143,D1_Code,90.0,5.82,2.124,4.4e-05,0.0,85.0,100.0,50.0,58.8,100.0,0.0,95.6,1.0,59.92,,,,,,,,,
CIB-A1-144,D1_Code,85.0,5.82,2.3986,5e-05,0.0,80.0,100.0,15.0,48.8,100.0,0.0,95.1,1.0,56.34,,,,,,,,,
CIB-A1-145,D1_Code,85.0,5.82,18.2816,0.000381,0.0,80.0,100.0,15.0,48.8,100.0,0.0,62.4,1.0,51.44,,,,,,,,,
CIB-A1-146,D1_Code,90.0,5.82,4.9891,0.000104,0.0,90.0,100.0,40.0,57.5,100.0,0.0,89.7,1.0,58.58,,,,,,,,,
CIB-A1-147,D1_Code,90.0,5.82,6.0468,0.000126,0.0,90.0,100.0,40.0,57.5,100.0,0.0,87.6,1.0,58.26,,,,,,,,,
CIB-A1-148,D1_Code,91.0,5.82,5.0314,0.000105,0.0,90.0,100.0,55.0,61.3,100.0,0.0,89.7,1.0,59.9,,,,,,,,,
CIB-A1-149,D1_Code,85.0,5.82,2.3739,4.9e-05,0.0,80.0,100.0,20.0,50.0,100.0,0.0,95.1,1.0,56.77,,,,,,,,,
CIB-A1-150,D1_Code,85.0,5.82,5.0004,0.000104,0.0,80.0,100.0,20.0,50.0,100.0,0.0,89.7,1.0,55.96,,,,,,,,,
CIB-B1-001,D2_Secu,100.0,5.82,25.0822,0.000523,,,,,0.0,0.0,0.0,48.4,0.0,0.0,1.0,0.0,0.0,100.0,,,,,
CIB-B1-002,D2_Secu,100.0,5.82,14.6753,0.000306,,,,,0.0,0.0,0.0,69.8,0.0,0.0,1.0,0.0,0.0,100.0,,,,,
CIB-B1-003,D2_Secu,100.0,5.82,15.6999,0.000327,,,,,0.0,0.0,0.0,67.7,0.0,0.0,0.0,1.0,0.0,100.0,,,,,
CIB-B1-004,D2_Secu,45.0,5.82,41.0572,0.000855,,,,,0.0,100.0,0.0,15.6,1.0,27.35,0.0,0.0,0.0,100.0,,,,,
CIB-B1-005,D2_Secu,100.0,5.82,31.9383,0.000665,,,,,0.0,100.0,0.0,34.4,1.0,30.16,0.0,0.0,0.0,100.0,,,,,
